Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT1G32900	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.80E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G51700	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.86E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G24240	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	3.53E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G13210	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	4.51E-11		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G72930	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.95E-10		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G37260	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.98E-10		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G27100	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	3.02E-10		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G58430	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.75E-09		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G02410	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	6.88E-09		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G18740	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	8.25E-09		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G18880	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.99E-08		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G17230	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.84E-07		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G41100	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	4.27E-07		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G39710	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	5.62E-07		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G42900	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	7.18E-07		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G39580	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	3.90E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G38640	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	4.26E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G22780	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	5.60E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G22690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	6.20E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G22690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	8.72E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G36550	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	8.77E-06		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G51660	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.29E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G09440	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.74E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G47570	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.75E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G11250	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	2.95E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G46310	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	3.49E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G05490	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	6.02E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G23320	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	7.65E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT3G62690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	8.41E-05		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G74750	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.00E-04		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G20780	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	1	1.03E-04		biolink:increases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
