Gene	Species	Experiment accession	Comparison	PECOid	log_2 fold change	Adjusted p-value	t-statistic	ROid	developmental stage	POid LifeStage	anatomical part	POid Anatomy	cultivar
AT5G01820	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.7	1.65E-30		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G03230	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.7	3.65E-20		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G40610	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.5	2.53E-18		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G38860	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.4	4.95E-12		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G46830	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.4	3.46E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G57780	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.4	3.49E-05		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G04770	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	2.13E-14		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT5G46690	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	3.51E-11		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT2G18560	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	4.69E-08		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT4G35720	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	7.64E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
AT1G07430	Arabidopsis thaliana	E-GEOD-63406	'exposed to 10 degree Celsius; gemin2 mutant; 1 hour' vs 'control; gemin2 mutant' .foldChange	PECO:0007174	-1.3	8.63E-06		biolink:decreases_expression_of	9 days old		whole plant	PO:0000003	gemin2 
